FactID	Fact_Statement	True/False
4385440	MailChannels' foundation place is Vancouver.	1.0
4354244	QlikTech's foundation place is Lund.	1.0
3394116	Nobel Prize in Literature is Andrew Huxley's honour.	0.0
3312772	Guglielmo Marconi's award is Nobel Prize in Literature.	0.0
3318640	Frédéric Passy's award is Nobel Prize in Literature.	0.0
3399851	François Jacob's award is Nobel Prize in Literature.	0.0
3486486	Kalevi Sorsa's office is Israel.	0.0
3403156	Canada is Edward Heath's role.	0.0
3454350	George Papandreou's office is Netherlands.	0.0
4340842	California is Kana Software's innovation place.	1.0
4311240	Helmi Technologies' foundation place is Oulu.	1.0
4320323	New York City is GoldenSource's innovation place.	1.0
4320332	Troy, Michigan is Syntel's innovation place.	1.0
4381032	United States is Information Builders' innovation place.	1.0
4362479	JetBrains' foundation place is Czech Republic.	1.0
4359309	New Zealand is Xero (software)'s foundation place.	1.0
4328591	KickApps' foundation place is New York City.	1.0
4320274	Palo Alto, California is Hewlett-Packard's innovation place.	1.0
4311964	Intuit Canada's foundation place is Edmonton.	1.0
4369139	Toronto is Delrina's innovation place.	1.0
4318261	Softpress' foundation place is Oxford.	1.0
4368180	California is Oracle Corporation's innovation place.	1.0
4392620	Critical Path, Inc.'s foundation place is San Francisco.	1.0
4341786	Redxpress' foundation place is Portsmouth.	1.0
4303330	Bloombase Technologies' foundation place is Shenzhen.	1.0
4366703	Providence, Rhode Island is SIMULIA's innovation place.	1.0
4384330	Mountain View, California is Financial Navigator's foundation place.	1.0
4313973	Mindscape's foundation place is Novato, California.	1.0
4323617	Big Fish Games' foundation place is Seattle.	1.0
4310519	Digital Research's foundation place is Pacific Grove, California.	1.0
3469365	Netherlands is Saddam Hussein's role.	0.0
3415768	Menachem Begin's office is Netherlands.	0.0
3411563	Netherlands is Paul-Henri Spaak's role.	0.0
3433818	Kakuei Tanaka's office is Netherlands.	0.0
3419756	Iceland is Joaquim Rafael Branco's role.	0.0
3469591	H. H. Asquith's office is Belgium.	0.0
3461062	Belgium is Hafez al-Assad's role.	0.0
3433206	Wilfrid Laurier's office is Belgium.	0.0
3415374	Israel is Wim Kok's role.	0.0
3441965	Joop den Uyl's office is Japan.	0.0
3495214	Japan is Vladimír Špidla's role.	0.0
3413990	Willem Drees' office is United Kingdom.	0.0
4379927	Montreal is Audiokinetic's innovation place.	1.0
4330489	Warwickshire is Codemasters' innovation place.	1.0
4301615	MokaFive's foundation place is California.	1.0
4389834	Seattle is Picnik's innovation place.	1.0
4398489	Techexcel's foundation place is Lafayette, California.	1.0
4315744	Mountain View, California is Spokeo's innovation place.	1.0
4341625	Materialise NV's foundation place is Leuven.	1.0
4369308	Geneva is Temenos Group's innovation place.	1.0
3410035	Jo Cals' office is Netherlands.	1.0
3429957	Iceland is Ásgeir Ásgeirsson's role.	1.0
3439658	Paul van Zeeland's office is Belgium.	1.0
3419665	Belgium is Pierre Harmel's role.	1.0
3474356	Gaston Eyskens' office is Belgium.	1.0
3460025	Israel is Yitzhak Shamir's role.	1.0
3418407	Osachi Hamaguchi's office is Japan.	1.0
3410041	Japan is Kakuei Tanaka's role.	1.0
3417276	Alec Douglas-Home's office is United Kingdom.	1.0
3470643	France is Jean Casimir-Perier's role.	1.0
3462073	Adolphe Thiers' office is France.	1.0
3454223	Pakistan is Benazir Bhutto's role.	1.0
3410884	José María Aznar's office is Spain.	1.0
3418883	Japan is Kiichi Miyazawa's role.	1.0
3445142	Tsutomu Hata's office is Japan.	1.0
3487700	Laos is Kaysone Phomvihane's role.	1.0
3492016	Kalevi Sorsa's office is Finland.	1.0
3471110	Iraq is Abd Al-Rahman Al-Gillani's role.	1.0
3420374	Lauri Ingman's office is Finland.	1.0
3409874	Finland is Aimo Cajander's role.	1.0
3418201	Naji Shawkat's office is Iraq.	1.0
3496147	Iraq is Abdul-Wahab Mirjan's role.	1.0
3420266	Elisabeth Domitien's office is Central African Republic.	1.0
3436963	France is Georges Pompidou's role.	1.0
3452402	Mikhail Kasyanov's office is Russia.	1.0
3417475	Malaysia is Mahathir Mohamad's role.	1.0
3411239	Ionatana Ionatana's office is Tuvalu.	1.0
3471677	Maria das Neves' office is São Tomé and Príncipe.	1.0
3453110	Manuel Azaña's office is Spain.	1.0
3447700	Luxembourg is Jacques Santer's role.	1.0
3403549	Poul Nyrup Rasmussen's office is Denmark.	1.0
3430429	Belgium is Jean-Luc Dehaene's role.	1.0
3422308	Édith Cresson's office is France.	1.0
3455769	Armenia is Vazgen Sargsyan's role.	1.0
3415483	Robert Bond's office is Dominion of Newfoundland.	1.0
3412510	Croatia is Stjepan Mesić's role.	1.0
3452865	Abdullah Ahmad Badawi's office is Malaysia.	1.0
3483501	Portugal is José Manuel Barroso's role.	1.0
3413382	Keizō Obuchi's office is Japan.	1.0
3411093	Portugal is Mário Soares' role.	1.0
3435493	Wilfried Martens' office is Belgium.	1.0
3441212	Malaysia is Abdul Razak Hussein's role.	1.0
3427755	Tunku Abdul Rahman's office is Malaysia.	1.0
3449253	Japan is Ryutaro Hashimoto's office.	1.0
3497256	P. W. Botha's office is South Africa.	1.0
3433812	Fiji is Mahendra Chaudhry's role.	1.0
3418786	Zine El Abidine Ben Ali's office is Tunisia.	1.0
3259671	Kevin Garnett's team is Boston Celtics.	1.0
3211646	Chicago Bulls is Ben Gordon's squad.	1.0
3231697	Emeka Okafor's team is Charlotte Bobcats.	1.0
3205585	Detroit Pistons is Chauncey Billups' squad.	1.0
3268494	Chauncey Billups' team is New York Knicks.	1.0
3498730	Carl Sagan is Heretics of Dune's author.	0.0
3484892	The Integral Trees' author is S. Fowler Wright.	0.0
3459899	Jonathan Lethem is Shadow of the Hegemon's generator.	0.0
3488062	Return from the Stars' author is John Brunner (novelist).	0.0
3408653	Flowers for Algernon's author is E. E. Smith.	0.0
3409658	Fifty Degrees Below's author is Douglas Adams.	0.0
3490127	Terry Pratchett is The Wheels of Chance's author.	0.0
3428396	The Wanderer (Fritz Leiber novel)'s author is Marge Piercy.	0.0
3490963	Alexander Jablokov is The Begum's Fortune's author.	0.0
3410222	Frankenstein's author is Vernor Vinge.	0.0
3413428	Isaac Asimov is So Long, and Thanks for All the Fish's author.	0.0
3436223	Flatland's author is Philip K. Dick.	0.0
3484559	Gentry Lee is Slaughterhouse-Five's generator.	0.0
3414577	Level 7's author is Roger Zelazny.	0.0
3476101	Kim Newman is This Perfect Day's generator.	0.0
3400827	Lord of Light's author is William Gibson.	0.0
3419469	Fritz Leiber is Contact (novel)'s author.	0.0
3294145	Los Angeles Clippers is Elton Brand's team.	1.0
3239270	Elton Brand's team is Dallas Mavericks.	1.0
3216614	Utah Jazz is Carlos Boozer's squad.	1.0
3240768	Ray Allen's team is Boston Celtics.	1.0
3212203	San Antonio Spurs is Richard Jefferson's squad.	1.0
3249383	Shawn Marion's team is Miami Heat.	1.0
3212726	Detroit Pistons is Carlos Delfino's squad.	1.0
3220634	Carlos Delfino's team is Houston Rockets.	1.0
3286124	Los Angeles Lakers is Kwame Brown's squad.	1.0
3220896	Kwame Brown's team is Detroit Pistons.	1.0
3238547	Golden State Warriors is Kwame Brown's squad.	1.0
3256256	Tyler Hansbrough's team is Indiana Pacers.	1.0
3211212	Charlotte Bobcats is Gerald Wallace's squad.	1.0
3241038	Shaun Livingston's team is Los Angeles Clippers.	1.0
3259403	Oklahoma City Thunder is Shaun Livingston's squad.	1.0
3219000	Miami Heat is Mike Miller (basketball player)'s team.	1.0
3211901	John Lucas III's team is Houston Rockets.	1.0
3216513	Chicago Bulls is John Lucas III's squad.	1.0
3417441	Travis Barker is Craig Conway (actor)'s spouse.	0.0
3495857	Kris Humphries is Tori Spelling's spouse.	0.0
3214221	Nazr Mohammed's team is New York Knicks.	1.0
3217830	Detroit Pistons is Nazr Mohammed's squad.	1.0
3420907	Ayumi Hamasaki is Diether Ocampo's better half.	0.0
3406806	Rihanna's spouse is Jennifer Lopez.	0.0
3408271	Tony Parker's spouse is Marton Csokas.	0.0
3414820	Persia White is Lee Ryan's better half.	0.0
3413336	Kim Kardashian's spouse is Angham.	0.0
3433628	Matt LeBlanc is Nicholas Tse's better half.	0.0
3446647	Ricky Groves' spouse is Jesús Franco.	0.0
3627755	Love Actually stars Daryl Hannah.	0.0
3612116	Clerks stars Gordon Liu.	0.0
3613178	2012 (film) stars Lucy Liu	0.0
3642843	Om Shanti Om stars Uma Thurman.	0.0
3659602	Camp Rock stars Brad Pitt.	0.0
3610626	A Hard Day's Night (film) stars Alan Rickman.	0.0
3608023	Mad Max stars Colin Firth.	0.0
3642887	Mean Girls stars Hugh Grant.	0.0
3611671	The Aristocats stars Laura Linney	0.0
3652120	Mad Max stars Martine McCutcheon.	0.0
3619203	Edward Scissorhands stars Ashley Tisdale.	0.0
3203751	Nazr Mohammed's team is Oklahoma City Thunder.	1.0
3204695	Los Angeles Clippers is Kenyon Martin's squad.	1.0
3257797	Zach Randolph's team is New York Knicks.	1.0
3258595	Dallas Mavericks is Chris Kaman's squad.	1.0
3281835	Al Jefferson's team is Boston Celtics.	1.0
3216094	Utah Jazz is Al Jefferson's squad.	1.0
3266543	Samuel Dalembert's team is Sacramento Kings.	1.0
3257145	New York Knicks is Jamal Crawford's squad.	1.0
3244716	Jamal Crawford's team is Atlanta Hawks.	1.0
3236962	Atlanta Hawks is Marvin Williams' squad.	1.0
3263998	Shane Battier's team is Houston Rockets.	1.0
3213073	Houston Rockets is Luis Scola's squad.	1.0
3275018	Channing Frye's team is New York Knicks.	1.0
3281820	Kwame Brown's team is Los Angeles Clippers.	0.0
3220660	Houston Rockets is Tyson Chandler's squad.	0.0
3268538	Shaun Livingston's team is New York Knicks.	0.0
3206461	Utah Jazz is Pau Gasol's squad.	0.0
3289485	Deron Williams' team is Minnesota Timberwolves.	0.0
3213193	Dallas Mavericks is Tayshaun Prince's squad.	0.0
3274271	Shaun Livingston's team is Boston Celtics.	0.0
3248314	Houston Rockets is Ian Mahinmi's squad.	0.0
3246155	Nazr Mohammed's team is Los Angeles Lakers.	0.0
3218541	Golden State Warriors is Shane Battier's squad.	0.0
3212902	Utah Jazz is Deron Williams' squad.	1.0
3275768	Martell Webster's team is Minnesota Timberwolves.	1.0
3284801	Dallas Mavericks is Ian Mahinmi's squad.	1.0
3212717	Gerald Green's team is Boston Celtics.	1.0
3270831	Houston Rockets is Gerald Green's squad.	1.0
3281322	Andrew Bynum's team is Los Angeles Lakers.	1.0
3403538	When HARLIE Was One's author is David Gerrold.	1.0
3403256	The Truce at Bakura's author is Kathy Tyers.	1.0
3418461	The World Is Round's author is Tony Rothman.	1.0
3271326	Golden State Warriors is Monta Ellis' squad.	1.0
3238061	Tony Allen (basketball)'s team is Boston Celtics.	1.0
3413978	Isaac Asimov is The Caves of Steel's generator.	1.0
3465770	Do Androids Dream of Electric Sheep?'s author is Philip K. Dick.	1.0
3412986	Poul Anderson is The Boat of a Million Years' generator.	1.0
3442167	Neuromancer's author is William Gibson.	1.0
3414812	Brian Aldiss is Non-Stop (novel)'s author.	1.0
3483100	Options (novel)'s author is Robert Sheckley.	1.0
3474954	William Tenn is Immodest Proposals' generator.	1.0
3418631	Jack Dann is Wandering Stars' generator.	1.0
3419335	The Postman's author is David Brin.	1.0
3419479	Kim Newman is Back in the USSA's generator.	1.0
3417880	Worldwar: Upsetting the Balance's author is Harry Turtledove.	1.0
3486566	Neal Stephenson is The Big U's generator.	1.0
3448283	Summon the Thunder's author is Kevin Dilmore.	1.0
3411220	Frank Herbert is Heretics of Dune's author.	1.0
3470395	The Integral Trees' author is Larry Niven.	1.0
3490863	Orson Scott Card is Shadow of the Hegemon's generator.	1.0
3419755	Return from the Stars' author is Stanisław Lem.	1.0
3416865	Daniel Keyes is Flowers for Algernon's generator.	1.0
3415850	Fifty Degrees Below's author is Kim Stanley Robinson.	1.0
3456720	The Wheels of Chance's author is H. G. Wells.	1.0
3489967	The Wanderer (Fritz Leiber novel)'s author is Fritz Leiber.	1.0
3476200	Jules Verne is The Begum's Fortune's author.	1.0
3451245	Frankenstein's author is Mary Shelley.	1.0
3494201	Flatland's author is Edwin Abbott Abbott.	1.0
3411013	Kurt Vonnegut is Slaughterhouse-Five's generator.	1.0
3449184	Level 7's author is Mordecai Roshwald.	1.0
3402382	Ira Levin is This Perfect Day's generator.	1.0
3275809	J. R. Smith's team is New Orleans Hornets.	1.0
3229734	Chris Kaman's team is Los Angeles Clippers.	1.0
3419123	Lord of Light's author is Roger Zelazny.	1.0
3454426	Carl Sagan is Contact (novel)'s author.	1.0
3415550	A Connecticut Yankee in King Arthur's Court's author is Mark Twain.	1.0
3278276	Dallas Mavericks is Kwame Brown's squad.	0.0
3215136	Metta World Peace's team is Boston Celtics.	0.0
3210826	Utah Jazz is Nazr Mohammed's squad.	0.0
3221316	Raymond Felton's team is Sacramento Kings.	0.0
3270479	New York Knicks is Metta World Peace's squad.	0.0
3210101	Ian Mahinmi's team is Atlanta Hawks.	0.0
3212679	Atlanta Hawks is Gerald Green's squad.	0.0
3203330	Shaun Livingston's team is Houston Rockets.	0.0
3418031	Gentry Lee is The Garden of Rama's generator.	1.0
3457895	Orbital Resonance (novel)'s author is John Barnes (author).	1.0
3424366	334 (novel)'s author is Thomas M. Disch.	1.0
3494708	The War Machine's author is Roger MacBride Allen.	1.0
3413962	Walter Jon Williams is Aristoi (novel)'s author.	1.0
3477685	Castle (novel)'s author is Garth Nix.	1.0
3420046	Doris Lessing is The Sentimental Agents in the Volyen Empire's generator.	1.0
3468359	Riddley Walker's author is Russell Hoban.	1.0
3460931	Michael Swanwick is Jack Faust (novel)'s author.	1.0
3407573	The Demolished Man's author is Alfred Bester.	1.0
3430570	The Last Book in the Universe's author is Rodman Philbrick.	1.0
3473828	Fallen Angels (science fiction novel)'s author is Michael F. Flynn.	1.0
4384080	Apple Inc.'s foundation place is Oulu.	0.0
4333788	New York City is Ansys' innovation place.	0.0
4381768	MontaVista's foundation place is Washington (state).	0.0
4311543	Art Technology Group's foundation place is Troy, Michigan.	0.0
3465469	A Canticle for Leibowitz's author is Walter M. Miller, Jr.	1.0
3476830	Out of the Silent Planet's author is C. S. Lewis.	1.0
3419828	Strange Case of Dr Jekyll and Mr Hyde's author is Robert Louis Stevenson.	1.0
3412238	Yevgeny Zamyatin is We (novel)'s author.	1.0
3456750	Good Omens' author is Terry Pratchett.	1.0
3433284	Joe Haldeman is The Forever War's generator.	1.0
3489736	A Door into Ocean's author is Joan Slonczewski.	1.0
4375480	United States is Futuremark's innovation place.	0.0
4359806	Valve Corporation's foundation place is Czech Republic.	0.0
4303506	New Zealand is Hyperion Entertainment's innovation place.	0.0
4330918	IBM's foundation place is New York City.	0.0
4301735	Codemasters' foundation place is Edmonton.	0.0
4321254	Toronto is Applied Minds' innovation place.	0.0
4395836	Intergraph's foundation place is Oxford.	0.0
4315590	Redxpress' foundation place is California.	0.0
3487950	The Neutronium Alchemist's author is Peter F. Hamilton.	1.0
